position,module
103.846_30.338,1
103.849_30.341,1
103.853_30.345,1
103.858_30.354,1
103.853_30.346,1
103.835_30.277,1
103.836_30.271,1
103.837_30.267,1
103.835_30.282,1
103.833_30.286,1
103.835_30.292,1
103.836_30.293,1
103.835_30.329,1
103.831_30.326,1
103.814_30.314,1
103.826_30.322,1
103.818_30.316,1
103.822_30.319,1
103.839_30.332,1
103.817_30.256,1
103.822_30.270,1
103.819_30.262,1
103.820_30.266,1
103.818_30.261,1
103.820_30.265,1
103.851_30.294,1
103.849_30.303,1
103.849_30.299,1
103.852_30.289,1
103.850_30.299,1
103.843_30.300,1
103.838_30.344,1
103.836_30.340,1
103.840_30.343,1
103.840_30.348,1
103.844_30.357,1
103.844_30.346,1
103.834_30.335,1
103.842_30.352,1
103.827_30.333,1
103.822_30.331,1
103.809_30.329,1
103.814_30.329,1
103.831_30.336,1
103.804_30.330,1
103.779_30.340,1
103.799_30.331,1
103.789_30.336,1
103.854_30.345,1
103.847_30.338,1
103.838_30.332,1
103.850_30.341,1
103.850_30.342,1
103.837_30.301,1
103.836_30.283,1
103.840_30.267,1
103.835_30.297,1
103.836_30.297,1
103.836_30.292,1
103.851_30.267,1
103.848_30.285,1
103.845_30.303,1
103.846_30.294,1
103.847_30.290,1
103.846_30.295,1
103.850_30.276,1
103.847_30.313,1
103.846_30.316,1
103.847_30.320,1
103.846_30.320,1
103.847_30.318,1
103.849_30.322,1
103.852_30.332,1
103.853_30.336,1
103.858_30.306,1
103.855_30.314,1
103.853_30.323,1
103.860_30.295,1
103.768_30.345,1
103.764_30.347,1
103.759_30.349,1
103.754_30.351,1
103.749_30.354,1
103.736_30.363,1
103.740_30.359,1
103.744_30.356,1
103.823_30.275,1
103.820_30.268,1
103.816_30.260,1
103.827_30.284,1
103.818_30.264,1
103.817_30.260,1
103.841_30.286,1
103.850_30.279,1
103.842_30.305,1
103.841_30.295,1
103.838_30.290,1
103.836_30.295,1
103.845_30.282,1
103.831_30.331,1
103.828_30.322,1
103.835_30.334,1
103.829_30.327,1
103.839_30.337,1
103.828_30.316,1
103.833_30.335,1
103.821_30.304,1
103.822_30.309,1
103.830_30.326,1
103.830_30.311,1
103.826_30.318,1
103.849_30.334,1
103.855_30.346,1
103.853_30.342,1
103.851_30.338,1
103.848_30.301,1
103.851_30.292,1
103.852_30.287,1
103.850_30.297,1
103.846_30.311,1
103.853_30.283,1
103.855_30.278,1
103.842_30.304,1
103.844_30.295,1
103.846_30.286,1
103.842_30.312,1
103.849_30.276,1
103.850_30.271,1
103.828_30.284,1
103.830_30.288,1
103.825_30.276,1
103.827_30.280,1
103.824_30.272,1
103.853_30.288,1
103.851_30.296,1
103.859_30.263,1
103.855_30.280,1
103.857_30.272,1
103.849_30.304,1
103.833_30.261,1
103.831_30.269,1
103.830_30.278,1
103.834_30.257,1
103.830_30.283,1
103.835_30.253,1
103.848_30.341,1
103.852_30.345,1
103.840_30.334,1
103.831_30.328,1
103.822_30.321,1
103.818_30.317,1
103.835_30.291,1
103.835_30.286,1
103.836_30.282,1
103.837_30.277,1
103.835_30.295,1
103.838_30.272,1
103.847_30.312,1
103.847_30.317,1
103.848_30.322,1
103.849_30.327,1
103.848_30.308,1
103.860_30.352,1
103.858_30.347,1
103.857_30.343,1
103.858_30.348,1
103.859_30.351,1
103.858_30.343,1
103.858_30.342,1
103.859_30.347,1
103.859_30.348,1
103.859_30.337,1
103.858_30.338,1
103.860_30.329,1
103.860_30.338,1
103.862_30.356,1
103.864_30.361,1
103.860_30.351,1
103.866_30.365,1
103.863_30.357,1
103.863_30.356,1
103.857_30.346,1
103.859_30.350,1
103.856_30.342,1
103.855_30.342,1
103.854_30.338,1
103.859_30.354,1
103.852_30.333,1
103.854_30.337,1
103.857_30.350,1
103.866_30.340,1
103.864_30.350,1
103.864_30.348,1
103.872_30.313,1
103.870_30.322,1
103.871_30.318,1
103.868_30.332,1
103.871_30.317,1
103.869_30.326,1
103.869_30.322,1
103.867_30.331,1
103.868_30.330,1
103.867_30.334,1
103.867_30.338,1
103.863_30.354,1
103.864_30.345,1
103.866_30.335,1
103.869_30.339,1
103.865_30.352,1
103.868_30.342,1
103.869_30.327,1
103.868_30.351,1
103.869_30.337,1
103.867_30.343,1
103.869_30.325,1
103.869_30.316,1
103.864_30.356,1
103.865_30.360,1
103.866_30.348,1
103.868_30.334,1
103.869_30.320,1
103.872_30.321,1
103.886_30.306,1
